English sentence,Swahili Translation
Are you sure?,"Je, una uhakika?"
I love you.,Nakupenda.
This is my friend Rachel. We went to high school together.,Huyu ni rafiki yangu Rachel. Tulikwenda pamoja shule ya sekondari.
I have a headache.,Kichwa kinauma.
"Where there's a will, there's a way.","Penye nia, pana njia."
I don't want to go to school.,Sitaki kwenda shule.
Don't forget about us!,Hutusahau!
How much is it?,Ni bei gani?
Can you keep a secret?,"Je, unaweza kutunza siri?"
What are you doing?,Unafanya nini?
What are you doing?,Mnafanya nini?
You have many books.,Una vitabu vingi.
You have many books.,Mna vitabu vingi.
You are teachers.,Nyinyi ni waalimu.
Do you remember?,Unakumbuka?
How is your family?,Habari za nyumbani?
What's new?,Habari gani?
I'd like to rent a car.,Ningependa kukodi gari.
Have a nice day.,Siku nzuri.
"If he had stayed at home that day, he would not have met with disaster.","Kama angekaa nyumbani, asingepata taabu."
"If I had known it, I would have gone there.","Kama ningejua, ningekwenda."
Take a taxi to the hotel.,Kwenda kwa teksi hotelini.
What is the language spoken in Brazil?,Lugha ambayo inasemwa Brazil ni nini?
What?,Nini?
I don't have a ticket.,Sina tikiti.
Don't forget to post the letter.,Usisahau kupeleka barua
Would you like another cup of coffee?,"Je, ungependa kikombe kingine cha kahawa?"
Our cat is in the kitchen.,Paka yetu ipo jikoni.
I come from England.,Natoka Uingereza.
It looks like a duck.,Anafanana bata.
Are you studying?,"Je, unasoma?"
Do you speak Japanese?,"Je, wasema Kijapani?"
How are you? What sort of day are you having today?,"Hujambo, bwana? Habari gani za mchana?"
All of us stared at her.,Wote tuliangalia saa yake.
We are students.,Sisi ni wanafunzi.
I have a telephone in my room.,Nina simu katika chumba changu.
I am an American.,Mimi ni Mmarekani.
I come from Australia.,Ninatoka Australia.
I have a computer.,Nina kompyuta.
I come from Brazil.,Ninatoka Brazil.
I have an old bicycle.,Nina baiskeli ya zamani.
I come from Saitama.,Ninatoka Saitama.
I am a teacher.,Mimi ni mwalimu.
Who am I?,Mimi ni nani?
I want to live.,Nataka kuishi.
I'll come back.,Nitarudi.
Do good to those who hate you.,Watendeeni mema wanaowachukia.
God created the world.,Mungu aliumba dunia.
Someone knocked on the door.,Mtu alibisha mlango.
Turn off the light.,Zima taa.
I come from Japan.,Ninatoka Japani.
He comes from England.,Anatoka Uingereza.
He is eating.,Anakula.
She comes from California.,Anatoka California.
I don't know.,Sijui.
Who are you?,Wewe ni nani?
Who are you?,Nyinyi ni nani?
You are my friend.,Wewe ni rafiki yangu.
I have a dog.,Nina mbwa.
How are you today?,Habari za leo?
How are you today?,Habari za mchana?
She hated him.,Alimchukia.
She didn't like him.,Hakumpenda.
Are you at home?,"Je, wewe ni nyumbani?"
What's your name?,Jina lako nani?
Are you hungry?,"Je, una njaa?"
Are you hungry?,"Je, mna njaa?"
He is teaching Arabic.,Anafundisha Kiarabu.
"Could I have the bill, please?","Naweza kupata bili, tafadhali?"
How is the family?,Hamjambo nyumbani?
Love is blind.,Mahaba ni tongo.
I go to school.,Naenda shule.
Don't worry.,Hakuna matata.
It would have been better if you had not gone there.,Bora usingekwenda hapo.
How are things?,Habari gani?
How are things?,Habari?
They come from Sweden.,Wanatoka Uswidi.
You are children.,Nyinyi ni watoto.
Why are you drinking water?,Mbona unanywa maji?
He is responsible for it.,Ni kazi yake.
She is responsible for it.,Ni kazi yake.
What is this thing used for?,Kazi yake nini kitu hiki?
I have succeeded in doing it.,Nimepata kufanya.
I have done it.,Nimepata kufanya.
Colorless green ideas sleep furiously.,Mawazo ya kijani yasiyokamili yanalala hoi.
It's a pretty house.,Ni nyumba nzuri.
My pen is new.,Kalamu changu ni mpya.
Is there a washing machine in the house?,"Je, kuna mashine ya kufulia nyumbani?"
Do you know this lady?,"Je, unajua mwanamke huyu?"
Who is this man?,Mtu huyu ni nani?
"Yes, I am married.","Ndiyo, ninaolewa."
I come from Colombia.,Ninatoka Kolombia.
Do the children go to school?,Watoto wanakwenda shuleni?
"If you don't understand, ask.","Usipofahamu, uliza."
The man is eating bread.,Mwanamume anakula mkate.
Who is reading?,Nani anasoma?
It's a new book.,Ni kitabu kipya.
The boy has a newspaper.,Mvulana ana gazeti.
Is there any reason for that?,"Je, kuna sababu yoyote?"
"Why is this so, Yusufu?","Kwa nini mambo yanakuwa hivi, Bwana Yusufu?"
"Yes, there are two important reasons.","Ndiyo, kuna sababu kubwa mbili."
"In the first place, women have more free time than men. In the second place, they have fewer things to worry about than men.","Kwanza, wanawake wana wakati mwingi zaidi kuliko wanaume. Pili, wanawake wanafikiri mambo machache zaidi kuliko wanaume."
The men go to work.,Wanaume wakakwenda kazini.
The men are generally tired when they come back from work.,Wanaume huchoka wakirudi kutoka kazini.
"Sometimes they say, ""I can't go to school today. I'll go tomorrow.""","Pengine husema, ""Mimi leo siwezi kwenda shuleni. Nitakwenda kesho."""
"In that case, they fall behind.",Kumbe wanachelewa!
I've heard that you don't eat green leafy vegetables. You say that it is food for animals.,Nimesikia kuwa hamli mboga za majani kwenu. Mnasema kuwa ni chakula cha wanyama.
That's nothing but a lie!,Huo ni uongo mtupu.
The people there are not so dumb.,Kule watu wanaelewa.
"They know what ""vitamin"" means.",Wanajua maana ya vitamin ni nini.
"When you don't eat leafy foods, you can't get vitamins.",Usipokula chakula cha majani huwezi kupata vitamin.
I was quite surprised.,Mimi nilistaajabu sana.
I was surprised that when I heard that people really don't eat leafy vegetables.,Nilistaajabu niliposikia kuwa kweli watu hawali mboga za majani.
That's not true at all.,Hiyo si kweli hata kidogo.
"I see that the time is approaching, Yusufu.","Bwana Yusufu, sasa naona wakati unakaribia."
I must hurry to catch the train.,Sina budi nikimbilie gari la moshi.
Fine. I'd be very happy if you would drop me a line as soon as you get to Mwanza.,Vema. Ningefurahi sana kama ungeniandikia barua mara tu ufikapo Mwanza.
Tell me all about the trip you've made.,Unieleze habari zote za safari uliyosafiri.
Tell me how you will take the steamer from Mwanza to Bukoba.,Unieleze jinsi utakavyopanda stima kutoka pale Mwanza mpaka Bukoba.
"Good bye, and safe trip.",Kwaheri bwana. Safiri salama!
"Good bye, and thanks.","Kwaheri bwana, asante!"
You'll see it for yourself.,Wewe mwenyewe utashuhudia.
Ask God that you may visit that country some day.,Omba Mungu uitembelee nchi hiyo siku moja.
"""Father, why are you putting on clean clothes?"" ""Because I'm going to church.""","""Baba, kwa nini unavaa nguo safi?"" ""Kwa sababu ninakwenda kanisani."""
"""Do you want to go to church with me, Daudi?"" ""No, father. I don't want to today. I'll go by myself tomorrow.""","""Daudi, unataka twende kanisani?"" ""Hapana, baba. Sitaki leo. Nitakwenda kesho peke yangu."""
But your mother is going too.,Lakini mama yako anakwenda pia.
"Even if I'm going to stay at home by myself, I'm not going any place at all today.","Ijapokuwa nitakaa nyumbani peke yangu, sitakwenda mahali popote siku ya leo."
I do not want any bananas at all.,Sitaki ndizi zozote.
I do not want any milk at all.,Sitaki maziwa yoyote.
I do not want anybody at all.,Sitaki watu wo wote.
We did not see a single game.,Hatukuona michezo yo yote.
We did not see any children at all.,Hatukuona watoto wo wote.
He does not have any relatives at all.,Yeye hana jamaa ye yote.
He does not have any friends.,Yeye hana rafiki ye yote.
"""I shall go to the market this afternoon. How about you?"" ""No, I will not go.""","""Nitakwenda sokoni mchana. Na wewe je?"" ""La, mimi sitakwenda."""
"""I shall buy a new house. How about you?"" ""No, I will not buy one.""","""Nitanunua nyumba mpya. Na wewe je?"" ""La, mimi sitanunua."""
"""Juma will pay school fees. How about Hamisi?"" ""No, he will not pay them.""","""Juma atalipa ada ya shule. Na Hamisi je?"" ""La, yeye hatalipa."""
"""Juma will help his friends. How about Hamisi?"" ""No, he will not help them.""","""Juma atawasaidia rafiki zake. Na Hamisi je?"" ""La, yeye hatawasaidia."""
"""My friends will learn Nyamwezi. How about yours?"" ""No, they will not learn it.""","""Rafiki zangu watajifunza Kinyamwezi. Na wako je?"" ""La, wao hawatajifunza."""
"""Will you go to the market with Juma?"" ""No, I shall go alone.""","""Utakwenda sokoni na Juma?"" ""La. Nitakwenda peke yangu."""
"""Will Juma go to the market with Hasani?"" ""No, he will go alone.""","""Juma atakwenda sokoni na Hasani?"" ""La. Atakwenda peke yake."""
"""Will the children stay at home with their mother?"" ""No, they will stay alone.""","""Watoto watakaa nyumbani na mama yao?"" ""La. Watakaa peke yao."""
"""Will the porters come with their master?"" ""No, they will come alone.""","""Wachukuzi watakuja na bwana wao?"" ""La. Watakuja peke yao."""
"""Do you want this orange?"" ""No, I don't want any orange at all.""","""Wataka chungwa hili?"" ""Hapana, sitaki chungwa lo lote."""
The boy is eating bread.,Mvulana anakula mkate.
He comes from Genoa.,Anatoka Genova.
He comes from Geneva.,Anatoka Geneva.
Fight for your right.,Kupigana kwa haki yako.
Magdalena and Ania are good friends.,Magdalena na Ania ni marafiki wazuri
The cat is eating.,Paka anakula.
"If I had known, I would not have come.","Kama ningejua, nisingekuja."
Could you say that again?,Utaweza kurudia ulichosema?
Do you know this song?,"Je, unajua wimbo huu?"
You're pretty.,Wewe ni mzuri.
My name is John.,Jina langu ni John.
That's a tree.,Ule ni mti.
See you tomorrow!,Tutaonana kesho!
I'm not an idiot.,Mimi si mjinga.
They are not coming today.,Hawaji leo.
I've lost my keys.,Nimepoteza funguo zangu.
Where do you know each other from?,Mnajuana kutoka wapi?
You are a student.,Wewe ni mwanafunzi.
I can't sleep.,Siwezi kulala.
I'm from England.,Natoka Uingereza.
He comes from Wales.,Anatoka Welisi.
I came yesterday.,Nilikuja jana.
I look forward to it.,Natazamia.
Where are we now?,Tuko wapi sasa?
Listen.,Sikiliza.
I want to go.,Nataka kwenda.
They're bad.,Wao ni wabaya.
I come from America.,Ninatoka Amerika.
They're children.,Wao ni watoto.
I can walk.,Ninaweza kutembea.
I'll save you.,Nitakuokoa.
I didn't take anything.,Sikuchukua chochote.
I come from Boston.,Ninatoka Boston.
Do you want my heart between your teeth?,Unataka moyo wangu kati ya meno yako?
Is your mum at home?,Mamako yupo nyumbani?
I know it was strange.,Ninajua kuwa alikuwa wa ajabu.
I must tell you something.,Yanipasa kukuambia kitu.
I have a cat.,Nina paka.
I have two cats.,Nina paka wawili.
Do not drink the water in the dirty glass!,Usinywe maji yaliyo bilaurini!
A promise is a debt.,Ahadi ni deni.
I ate the meat.,Nilikula nyama.
I'm not a doctor.,Mimi si daktari.
I'm a woman.,Mimi ni mwanamke.
Children are the flowers of our lives.,Watoto ni maua ya maisha yetu.
She is a singer.,Yeye ni mwimbaji.
I wrote a book about China.,Niliandika kitabu kuhusu China.
What's your nationality?,Nini uraia wako?
It's three o'clock.,Ni saa tisa.
Jorge speaks four languages.,Jorge azungumza lugha nne.
Do you remember her name?,"Je, unakumbuka jina lake?"
I can speak your language.,Naweza kuzungumza lugha yako.
I found one.,Nilipata moja.
Mary knows me.,Mary ananijua.
Emily wrote the sentence.,Emily aliandika sentensi.
I hate maths.,Ninachukia hesabu.
I'm drinking water in the kitchen.,Nanywa maji jikoni.
I'm not a fangirl.,Mimi si msichana wa shabiki.
You broke the table you were sitting on.,Ulivunja meza uliyekuwa ukikaa.
Don't smoke in bed.,Usivute sigara kitandani.
How are you this morning?,Habari za asubuhi?
Please bring me eggs.,"Tafadhali, niletee mayai."
Do you want food?,"Je, unataka chakula?"
Do you want eggs?,"Je, unataka mayai?"
Do you want fruit?,"Je, unataka matunda?"
Do you want fruit?,Unataka matunda?
Please bring me fruit.,"Tafadhali, niletee matunda."
Please bring me porridge.,"Tafadhali, niletee uji."
What kind of food is there?,Kuna chakula gani?
There is gruel.,Kuna uji.
Do you want gruel?,"Je, unataka uji?"
"Yes, bring me gruel.",Ndiyo. Niletee uji.
There is fruit.,Kuna matunda.
Would you like some fruit?,"Je, unataka matunda?"
Are there any bananas?,Kuna ndizi?
He's been drinking beer.,Yeye amekwisha kunywa pombe.
I go on foot.,Naenda kwa miguu.
Melanie likes music.,Melanie anapenda muziki.
She is my teacher.,Yeye ni mwalimu wangu.
The man is strong.,Mtu ni mwenye nguvu.
I'm not listening to music.,Sisikilizi muziki.
My book is here.,Kitabu changu ni hapa.
A monarch had six sons.,Mtawala alikuwa na wana wasita.
I'm cooking.,Ninapika.
You're cooking.,Unapika.
She's cooking.,Anapika.
They're reading a book.,Wanasoma kitabu.
You're reading.,Unasoma.
He's reading.,Anasoma.
They're writing.,Wanaandika.
We're writing.,Tunaandika.
You're writing.,Mnaandika.
You're writing.,Unaandika.
She's cooking now.,Anapika sasa.
We're cooking now.,Tunapika sasa.
I'm eating a sandwich.,Ninakula sandwichi.
The horse is black.,Farasi ni mweusi.
Do you eat fish?,"Je, unakula samaki?"
I want to drink tea.,Ninataka kunywa chai.
The horse is not white.,Farasi si mweupe.
This horse is white.,Farasi hii ni mweupe.
This horse is not white.,Farasi hii si mweupe.
She's a doctor.,Yeye ni daktari.
She's a good woman.,Yeye ni mwanamke mzuri.
Their car is not good.,Gari yao si jizuri.
She is a good student.,Yeye ni mwanafunzi mzuri.
You're not a man.,Wewe si mtu.
You're not a woman.,Wewe si mwanamke.
I went to the bank.,Nilikwenda benki.
