1326	Are you sure?	3653235	Je, una uhakika?
1434	I love you.	369350	Nakupenda.
1631	This is my friend Rachel. We went to high school together.	3324344	Huyu ni rafiki yangu Rachel. Tulikwenda pamoja shule ya sekondari.
1712	I have a headache.	842637	Kichwa kinauma.
1775	Where there's a will, there's a way.	562906	Penye nia, pana njia.
1860	I don't want to go to school.	3633481	Sitaki kwenda shule.
2216	Don't forget about us!	369341	Hutusahau!
2418	How much is it?	1121720	Ni bei gani?
9594	Can you keep a secret?	3173001	Je, unaweza kutunza siri?
16492	What are you doing?	1120863	Unafanya nini?
16492	What are you doing?	1120867	Mnafanya nini?
16525	You have many books.	3175789	Una vitabu vingi.
16525	You have many books.	3175792	Mna vitabu vingi.
20099	You are teachers.	3173923	Nyinyi ni waalimu.
21678	Do you remember?	369344	Unakumbuka?
24081	How is your family?	2576633	Habari za nyumbani?
25029	What's new?	700389	Habari gani?
29477	I'd like to rent a car.	1121721	Ningependa kukodi gari.
30085	Have a nice day.	1184115	Siku nzuri.
30692	If he had stayed at home that day, he would not have met with disaster.	1057982	Kama angekaa nyumbani, asingepata taabu.
31003	If I had known it, I would have gone there.	1057969	Kama ningejua, ningekwenda.
33354	Take a taxi to the hotel.	369345	Kwenda kwa teksi hotelini.
34223	What is the language spoken in Brazil?	3653225	Lugha ambayo inasemwa Brazil ni nini?
36088	What?	367523	Nini?
40223	I don't have a ticket.	3324336	Sina tikiti.
46743	Don't forget to post the letter.	369347	Usisahau kupeleka barua
62256	Would you like another cup of coffee?	3175799	Je, ungependa kikombe kingine cha kahawa?
65516	Our cat is in the kitchen.	3653251	Paka yetu ipo jikoni.
66622	I come from England.	2576606	Natoka Uingereza.
67766	It looks like a duck.	3324332	Anafanana bata.
68954	Are you studying?	3653241	Je, unasoma?
69058	Do you speak Japanese?	3176602	Je, wasema Kijapani?
239423	How are you? What sort of day are you having today?	2576572	Hujambo, bwana? Habari gani za mchana?
248324	All of us stared at her.	3173488	Wote tuliangalia saa yake.
248532	We are students.	3175765	Sisi ni wanafunzi.
251766	I have a telephone in my room.	3173270	Nina simu katika chumba changu.
253017	I am an American.	3175754	Mimi ni Mmarekani.
253219	I come from Australia.	2576702	Ninatoka Australia.
253848	I have a computer.	3233240	Nina kompyuta.
255520	I come from Brazil.	2576704	Ninatoka Brazil.
257299	I have an old bicycle.	3324338	Nina baiskeli ya zamani.
257700	I come from Saitama.	2576708	Ninatoka Saitama.
259069	I am a teacher.	1108727	Mimi ni mwalimu.
259378	Who am I?	3175752	Mimi ni nani?
261906	I want to live.	2901326	Nataka kuishi.
261982	I'll come back.	369348	Nitarudi.
264823	Do good to those who hate you.	1824396	Watendeeni mema wanaowachukia.
269624	God created the world.	3173258	Mungu aliumba dunia.
276122	Someone knocked on the door.	3173134	Mtu alibisha mlango.
279153	Turn off the light.	3173534	Zima taa.
281170	I come from Japan.	2576710	Ninatoka Japani.
288977	He comes from England.	2576727	Anatoka Uingereza.
299788	He is eating.	2597833	Anakula.
310689	She comes from California.	2576735	Anatoka California.
349064	I don't know.	369342	Sijui.
356200	Who are you?	3175768	Wewe ni nani?
356200	Who are you?	3175770	Nyinyi ni nani?
370562	You are my friend.	3087294	Wewe ni rafiki yangu.
378502	I have a dog.	3173680	Nina mbwa.
388255	How are you today?	1120852	Habari za leo?
388255	How are you today?	3085971	Habari za mchana?
388371	She hated him.	3173516	Alimchukia.
388373	She didn't like him.	3173499	Hakumpenda.
405500	Are you at home?	3172992	Je, wewe ni nyumbani?
408293	What's your name?	1121734	Jina lako nani?
434242	Are you hungry?	3173005	Je, una njaa?
434242	Are you hungry?	3175781	Je, mna njaa?
434946	He is teaching Arabic.	3233244	Anafundisha Kiarabu.
435203	Could I have the bill, please?	1121717	Naweza kupata bili, tafadhali?
436133	How is the family?	1108645	Hamjambo nyumbani?
453394	Love is blind.	1262635	Mahaba ni tongo.
472089	I go to school.	2903459	Naenda shule.
506446	Don't worry.	1324046	Hakuna matata.
541478	It would have been better if you had not gone there.	1057980	Bora usingekwenda hapo.
569283	How are things?	700389	Habari gani?
569283	How are things?	1120820	Habari?
622193	They come from Sweden.	2576738	Wanatoka Uswidi.
671725	You are children.	3579708	Nyinyi ni watoto.
687774	Why are you drinking water?	3175780	Mbona unanywa maji?
700339	He is responsible for it.	700337	Ni kazi yake.
700357	She is responsible for it.	700337	Ni kazi yake.
700373	What is this thing used for?	700368	Kazi yake nini kitu hiki?
700379	I have succeeded in doing it.	700378	Nimepata kufanya.
700380	I have done it.	700378	Nimepata kufanya.
702472	Colorless green ideas sleep furiously.	719099	Mawazo ya kijani yasiyokamili yanalala hoi.
703133	It's a pretty house.	3173536	Ni nyumba nzuri.
710914	My pen is new.	3173546	Kalamu changu ni mpya.
726353	Is there a washing machine in the house?	3175706	Je, kuna mashine ya kufulia nyumbani?
754967	Do you know this lady?	3653934	Je, unajua mwanamke huyu?
773353	Who is this man?	3175763	Mtu huyu ni nani?
773378	Yes, I am married.	3324341	Ndiyo, ninaolewa.
815844	I come from Colombia.	2576719	Ninatoka Kolombia.
842632	Do the children go to school?	842630	Watoto wanakwenda shuleni?
842801	If you don't understand, ask.	842798	Usipofahamu, uliza.
853262	The man is eating bread.	2597834	Mwanamume anakula mkate.
869044	Who is reading?	869059	Nani anasoma?
871646	It's a new book.	3174039	Ni kitabu kipya.
879598	The boy has a newspaper.	3343929	Mvulana ana gazeti.
879705	Is there any reason for that?	879707	Je, kuna sababu yoyote?
879708	Why is this so, Yusufu?	879709	Kwa nini mambo yanakuwa hivi, Bwana Yusufu?
879711	Yes, there are two important reasons.	879715	Ndiyo, kuna sababu kubwa mbili.
879717	In the first place, women have more free time than men. In the second place, they have fewer things to worry about than men.	879718	Kwanza, wanawake wana wakati mwingi zaidi kuliko wanaume. Pili, wanawake wanafikiri mambo machache zaidi kuliko wanaume.
879720	The men go to work.	879722	Wanaume wakakwenda kazini.
879723	The men are generally tired when they come back from work.	879724	Wanaume huchoka wakirudi kutoka kazini.
879726	Sometimes they say, "I can't go to school today. I'll go tomorrow."	879728	Pengine husema, "Mimi leo siwezi kwenda shuleni. Nitakwenda kesho."
